2026-05-02T11:38:27.497638+0200 - __main__-   __init__ -36- ERROR    - Error loading configuration file: module 'config_lc' has no attribute 'lc_config'
2026-05-02T14:54:09.626367+0200 - __main__-   on_connect -106- INFO    - Connected with result code 5
2026-05-02T14:54:11.648960+0200 - __main__-   on_connect -106- INFO    - Connected with result code 5
2026-05-02T14:54:15.667330+0200 - __main__-   on_connect -106- INFO    - Connected with result code 5
2026-05-02T14:55:02.557370+0200 - __main__-   on_connect -106- INFO    - Connected with result code 5
2026-05-02T14:55:04.576346+0200 - __main__-   on_connect -106- INFO    - Connected with result code 5
2026-05-02T14:55:08.595328+0200 - __main__-   on_connect -106- INFO    - Connected with result code 5
2026-05-02T14:57:00.476452+0200 - __main__-   on_connect -106- INFO    - Connected with result code 5
2026-05-02T14:57:02.494436+0200 - __main__-   on_connect -106- INFO    - Connected with result code 5
2026-05-02T14:57:06.514559+0200 - __main__-   on_connect -106- INFO    - Connected with result code 5
2026-05-02T14:58:34.503757+0200 - __main__-   on_connect -106- INFO    - Connected with result code 5
2026-05-02T14:58:36.522453+0200 - __main__-   on_connect -106- INFO    - Connected with result code 5
2026-05-02T14:58:40.538974+0200 - __main__-   on_connect -106- INFO    - Connected with result code 5
2026-05-02T15:10:21.768576+0200 - __main__-   on_connect -106- INFO    - Connected with result code 5
2026-05-02T15:10:23.786415+0200 - __main__-   on_connect -106- INFO    - Connected with result code 5
2026-05-02T15:10:27.799027+0200 - __main__-   on_connect -106- INFO    - Connected with result code 5
2026-05-02T15:12:27.172330+0200 - __main__-   on_connect -107- INFO    - Connected with result code 5
2026-05-02T15:12:29.188076+0200 - __main__-   on_connect -107- INFO    - Connected with result code 5
2026-05-02T15:12:33.201819+0200 - __main__-   on_connect -107- INFO    - Connected with result code 5
2026-05-02T15:12:42.551482+0200 - __main__-   on_connect -107- INFO    - Connected with result code 5
2026-05-02T15:12:44.573207+0200 - __main__-   on_connect -107- INFO    - Connected with result code 5
2026-05-02T15:12:48.589246+0200 - __main__-   on_connect -107- INFO    - Connected with result code 5
2026-05-02T15:17:18.970315+0200 - __main__-   on_connect -107- INFO    - Connected with result code 5
2026-05-02T15:17:20.990939+0200 - __main__-   on_connect -107- INFO    - Connected with result code 5
2026-05-02T15:17:25.009439+0200 - __main__-   on_connect -107- INFO    - Connected with result code 5
2026-05-02T15:18:09.166043+0200 - __main__-   on_connect -107- INFO    - Connected with result code 5
2026-05-02T15:18:11.177990+0200 - __main__-   on_connect -107- INFO    - Connected with result code 5
